company,company_clean,founded_year,joined_date,valuation_billion,country,city,industry,funding_round_id,object_id,funded_at,funding_round_type,raised_amount_usd,valuation_usd
Illumio,illumio,2013.0,2015-04-14,2.75,United States,Sunnyvale,Cybersecurity,49162.0,c:190509,2013-09-20,series-b,34500000.0,2750000000.0
InMobi,inmobi,2007.0,2014-12-02,1.0,India,Bengaluru,Mobile & telecommunications,2752.0,c:4446,2008-01-01,series-a,7100000.0,1000000000.0
InMobi,inmobi,2007.0,2014-12-02,1.0,India,Bengaluru,Mobile & telecommunications,2753.0,c:4446,2007-01-01,angel,500000.0,1000000000.0
InMobi,inmobi,2007.0,2014-12-02,1.0,India,Bengaluru,Mobile & telecommunications,16922.0,c:4446,2010-07-13,series-b,8000000.0,1000000000.0
InMobi,inmobi,2007.0,2014-12-02,1.0,India,Bengaluru,Mobile & telecommunications,25400.0,c:4446,2011-09-15,series-c+,200000000.0,1000000000.0
InSightec,insightec,1999.0,2020-03-06,1.3,Israel,Tirat Carmel,Health,34296.0,c:180761,2012-12-11,series-c+,30900000.0,1300000000.0
Instacart,instacart,2012.0,2014-12-30,39.0,United States,San Francisco,"Supply chain, logistics, & delivery",33408.0,c:166739,2012-10-25,venture,2300000.0,39000000000.0
Instacart,instacart,2012.0,2014-12-30,39.0,United States,San Francisco,"Supply chain, logistics, & delivery",42168.0,c:166739,2013-07-10,series-a,8500000.0,39000000000.0
Intarcia Therapeutics,intarciatherapeutics,1995.0,2014-04-01,3.8,United States,Boston,Health,9076.0,c:33592,2007-03-20,series-b,50000000.0,3800000000.0
Intarcia Therapeutics,intarciatherapeutics,1995.0,2014-04-01,3.8,United States,Boston,Health,18179.0,c:33592,2010-09-08,series-b,5000000.0,3800000000.0
Intarcia Therapeutics,intarciatherapeutics,1995.0,2014-04-01,3.8,United States,Boston,Health,33800.0,c:33592,2012-11-16,series-c+,160000000.0,3800000000.0
Intarcia Therapeutics,intarciatherapeutics,1995.0,2014-04-01,3.8,United States,Boston,Health,43842.0,c:33592,2012-08-30,other,45791354.0,3800000000.0
Intarcia Therapeutics,intarciatherapeutics,1995.0,2014-04-01,3.8,United States,Boston,Health,43957.0,c:33592,2012-11-15,other,50000000.0,3800000000.0
Intarcia Therapeutics,intarciatherapeutics,1995.0,2014-04-01,3.8,United States,Boston,Health,53427.0,c:33592,2011-06-10,other,45791354.0,3800000000.0
Intarcia Therapeutics,intarciatherapeutics,1995.0,2014-04-01,3.8,United States,Boston,Health,56807.0,c:33592,2010-01-15,series-b,9026189.0,3800000000.0
Intarcia Therapeutics,intarciatherapeutics,1995.0,2014-04-01,3.8,United States,Boston,Health,57342.0,c:33592,2010-05-14,venture,14488394.0,3800000000.0
Intercom,intercom,2011.0,2018-03-27,1.28,United States,San Francisco,Internet,41508.0,c:81068,2012-01-25,angel,1000000.0,1280000000.0
Intercom,intercom,2011.0,2018-03-27,1.28,United States,San Francisco,Internet,41510.0,c:81068,2012-08-01,angel,750000.0,1280000000.0
Intercom,intercom,2011.0,2018-03-27,1.28,United States,San Francisco,Internet,41511.0,c:81068,2013-06-01,series-a,6000000.0,1280000000.0
InVision,invision,2011.0,2017-11-01,1.9,United States,New York,Internet,10251.0,c:37709,2008-03-04,series-a,30000000.0,1900000000.0
InVision,invision,2011.0,2017-11-01,1.9,United States,New York,Internet,12082.0,c:37709,2010-02-12,series-b,5000000.0,1900000000.0
InVision,invision,2011.0,2017-11-01,1.9,United States,New York,Internet,13678.0,c:45027,2006-01-31,venture,5000000.0,1900000000.0
InVision,invision,2011.0,2017-11-01,1.9,United States,New York,Internet,21737.0,c:37709,2011-03-02,venture,8500000.0,1900000000.0
InVision,invision,2011.0,2017-11-01,1.9,United States,New York,Internet,28339.0,c:73638,2012-02-22,series-a,1500000.0,1900000000.0
InVision,invision,2011.0,2017-11-01,1.9,United States,New York,Internet,55690.0,c:37709,2011-03-10,venture,1116400.0,1900000000.0
Iterable,iterable,2013.0,2021-06-15,2.0,United States,San Francisco,Internet,38178.0,c:203167,2013-05-01,angel,0.0,2000000000.0
Ivalua,ivalua,2000.0,2019-05-21,1.1,United States,Redwood City,Fintech,22815.0,c:75443,2011-05-05,venture,4444200.0,1100000000.0
Jeeves,jeeves,2019.0,2022-03-14,2.0,United States,Orlando,Fintech,30921.0,c:162801,2012-06-21,angel,0.0,2000000000.0
Jobandtalent,jobandtalent,2009.0,2021-12-01,2.35,Spain,Madrid,Internet,16884.0,c:51578,2010-06-22,angel,735480.0,2350000000.0
Jobandtalent,jobandtalent,2009.0,2021-12-01,2.35,Spain,Madrid,Internet,30677.0,c:51578,2009-01-01,angel,695850.0,2350000000.0
Jobandtalent,jobandtalent,2009.0,2021-12-01,2.35,Spain,Madrid,Internet,41932.0,c:51578,2013-07-22,venture,3300000.0,2350000000.0
JoyTunes,joytunes,2011.0,2021-06-21,1.0,Israel,Tel Aviv,Edtech,36821.0,c:58828,2012-01-01,angel,500000.0,1000000000.0
JoyTunes,joytunes,2011.0,2021-06-21,1.0,Israel,Tel Aviv,Edtech,37491.0,c:58828,2013-05-03,series-a,1500000.0,1000000000.0
JumpCloud,jumpcloud,2012.0,2021-09-13,2.62,United States,Louisville,Data,41584.0,c:223736,2012-12-20,venture,1200000.0,2620000000.0
Justworks,justworks,2012.0,2020-01-28,1.43,United States,New York,Internet,52056.0,c:211884,2013-10-16,angel,1000000.0,1430000000.0
Kaseya,kaseya,2000.0,2019-03-27,2.0,United States,Miami,Cybersecurity,40797.0,c:21665,2013-06-25,private-equity,0.0,2000000000.0
KeepTruckin,keeptruckin,2013.0,2019-04-23,2.3,United States,San Francisco,"Supply chain, logistics, & delivery",57772.0,c:285854,2013-07-01,series-a,2300000.0,2300000000.0
Klarna,klarna,2005.0,2011-12-12,45.6,Sweden,Stockholm,Fintech,13608.0,c:44917,2005-01-01,angel,80000.0,45600000000.0
Klarna,klarna,2005.0,2011-12-12,45.6,Sweden,Stockholm,Fintech,13609.0,c:44917,2007-12-01,series-a,2200000.0,45600000000.0
Klarna,klarna,2005.0,2011-12-12,45.6,Sweden,Stockholm,Fintech,15623.0,c:44917,2010-05-04,series-b,9000000.0,45600000000.0
Klarna,klarna,2005.0,2011-12-12,45.6,Sweden,Stockholm,Fintech,26970.0,c:44917,2011-12-09,series-c+,155000000.0,45600000000.0
Lattice,lattice,2015.0,2021-03-23,3.0,United States,San Francisco,Internet,21766.0,c:70394,2011-02-22,venture,1000000.0,3000000000.0
Lattice,lattice,2015.0,2021-03-23,3.0,United States,San Francisco,Internet,54473.0,c:70394,2011-05-05,venture,509600.0,3000000000.0
Lookout,lookout,2007.0,2013-10-10,1.0,United States,San Francisco,Cybersecurity,10560.0,c:13365,2009-12-22,series-a,5500000.0,1000000000.0
Lookout,lookout,2007.0,2013-10-10,1.0,United States,San Francisco,Cybersecurity,15699.0,c:13365,2010-05-18,series-b,11000000.0,1000000000.0
Lookout,lookout,2007.0,2013-10-10,1.0,United States,San Francisco,Cybersecurity,20648.0,c:13365,2010-12-23,series-c+,19500000.0,1000000000.0
Lookout,lookout,2007.0,2013-10-10,1.0,United States,San Francisco,Cybersecurity,25527.0,c:13365,2011-09-21,venture,40000000.0,1000000000.0
Lookout,lookout,2007.0,2013-10-10,1.0,United States,San Francisco,Cybersecurity,51597.0,c:13365,2013-10-10,series-c+,55000000.0,1000000000.0
Loom,loom,2016.0,2021-05-20,1.53,United States,San Francisco,Internet,50933.0,c:214623,2013-10-04,angel,1400000.0,1530000000.0
